threadIdx.x: 0, threadIdx.y: 0, threadIdx.z: 0, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 0, threadIdx.z: 0, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 1, threadIdx.z: 0, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 1, threadIdx.z: 0, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 0, threadIdx.z: 1, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 0, threadIdx.z: 1, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 1, threadIdx.z: 1, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 1, threadIdx.z: 1, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 0, threadIdx.z: 0, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 0, threadIdx.z: 0, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 1, threadIdx.z: 0, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 1, threadIdx.z: 0, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 0, threadIdx.z: 1, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 0, threadIdx.z: 1, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 1, threadIdx.z: 1, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 1, threadIdx.z: 1, blockIdx.x: 0, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 0, threadIdx.z: 0, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 0, threadIdx.z: 0, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 1, threadIdx.z: 0, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 1, threadIdx.z: 0, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 0, threadIdx.z: 1, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 0, threadIdx.z: 1, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 1, threadIdx.z: 1, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 1, threadIdx.z: 1, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 1, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 0, threadIdx.z: 0, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 0, threadIdx.z: 0, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 1, threadIdx.z: 0, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 1, threadIdx.z: 0, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 0, threadIdx.z: 1, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 0, threadIdx.z: 1, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 0, threadIdx.y: 1, threadIdx.z: 1, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
threadIdx.x: 1, threadIdx.y: 1, threadIdx.z: 1, blockIdx.x: 1, blockIdx.y: 0, blockIdx.z: 0, gridDim.x: 2, gridDim.y: 2, gridDim.z: 2 
